word,level,pos
a,starters,determiner
a few,flyers,determiner
a little,flyers,adverb|determiner
a lot,starters,adverb|pronoun
a lot of,starters,determiner
a.m.,flyers,noun
ability,a2,noun
about,starters,preposition
above,movers,preposition
abroad,a2,adverb
accept,a2,verb
acceptable,a2,adjective
accident,a2,noun
account,a2,noun
achieve,a2,verb
across,flyers,preposition
act,flyers,verb
action,a1,noun
activity,a1,noun
actor,flyers,noun
actually,flyers,adverb
add,starters,verb
addition,a2,noun
additional,a2,adjective
address,movers,noun
adjective,a2,noun
adjust,a2,verb
admire,a2,verb
admit,a2,verb
adult,a2,adjective
advanced,a2,adjective
advantage,a2,noun
adventure,flyers,noun
advertisement,a2,noun
advertising,a2,noun
advice,a2,noun
advise,a2,verb
afraid,movers,adjective
after,movers,preposition
afternoon,starters,adjective
again,starters,adverb
age,movers,noun
aged,a2,adjective
agency,a2,noun
agent,a2,noun
ago,flyers,adverb
agree,flyers,verb
ahead,a2,adverb
air,flyers,noun
airport,flyers,noun
aisle,a2,noun
alarm,a2,noun
alarm clock,a2,noun
album,a1,noun
alex,starters,noun
alice,starters,noun
alien,starters,noun
alive,a2,adjective
all,movers,adjective|adverb|determiner|pronoun
all right,movers,adjective|adverb
allow,a2,verb
almost,a1,adverb
alone,flyers,adjective|adverb
along,movers,preposition
alphabet,starters,noun
already,flyers,adverb
alright,a2,adjective
also,flyers,adverb
always,movers,adverb
amazing,flyers,adjective|exclamation
ambition,a2,noun
ambulance,flyers,noun
amused,a2,adjective
amusement,a2,noun
an,starters,determiner
ancestor,a2,noun
ancient,a2,adjective
and,starters,conjunction
angel,a2,noun
angrily,a2,adverb
angry,starters,adjective
animal,starters,noun
ankle,a2,noun
ann,starters,noun
anna,starters,noun
anniversary,a2,noun
annoy,a2,verb
annoying,a2,adjective
another,movers,determiner|pronoun
answer,starters,noun|verb
anxious,a2,adjective
any,movers,determiner|pronoun
anymore,a2,adverb
anyone,flyers,pronoun
anything,flyers,pronoun
anyway,a2,adverb
anywhere,flyers,adverb
apart,a2,adverb
apartment,a2,noun
app,movers,noun
apparently,a2,adverb
appear,flyers,verb
appearance,a2,noun
apple,starters,noun
apply,a2,verb
appointment,a2,noun
appreciate,a2,verb
appropriate,a2,adjective
april,flyers,noun
apron,a1,noun
architecture,a2,noun
area,a2,noun
argue,a2,verb
argument,a2,noun
arm,starters,noun
armchair,starters,noun
armed,a2,adjective
around,movers,preposition
arrive,flyers,verb
art,flyers,noun
article,a1,noun
artificial,a2,adjective
artist,flyers,noun
as,flyers,adverb
as ... as,flyers,adverb
ask,starters,noun|verb
asleep,movers,adjective
assistant,a2,adjective
association,a2,noun
astronaut,flyers,noun
at,starters,preposition
at the moment,flyers,adverb
athlete,a2,noun
atom,a2,noun
attack,a2,noun
attempt,a2,noun
attention,a2,noun
attitude,a2,noun
attractive,a2,adjective
audience,a2,noun
audio,a2,adjective
august,flyers,noun
aunt,movers,noun
author,a2,noun
automatic,a2,adjective
automatically,a2,adverb
autumn,flyers,noun
average,a2,adjective
avoid,a2,verb
awake,movers,adjective
award,a2,noun
away,flyers,adverb
awful,a2,adjective
baby,starters,noun
back,movers,adjective|adverb|noun
background,a2,noun
bad,movers,adjective
badly,movers,adverb
badminton,starters,noun
bag,starters,noun
bake,a2,verb
balcony,movers,noun
ball,starters,noun
balloon,starters,noun
banana,starters,noun
band,movers,noun
bandage,flyers,noun
bank,flyers,noun
banking,a2,noun
bar,a1,noun
barbecue,a2,noun
barber,a2,noun
bargain,a2,noun
base,a2,noun
baseball,starters,noun
baseball cap,starters,noun
basement,movers,noun
basic,a2,adjective
basically,a2,adverb
basket,a2,noun
basketball,starters,noun
bat,starters,noun
batch,a2,noun
bath,starters,noun
bathroom,starters,noun
battery,a2,noun
bay,a2,noun
be,starters,verb
be called,movers,verb
beach,starters,noun
bean,starters,noun
bear,starters,noun
beard,movers,noun
beautiful,starters,adjective
beauty,a2,noun
because,movers,conjunction
become,a1,verb
bed,starters,noun
bedroom,starters,noun
bee,starters,noun
beef,a1,noun
beetle,flyers,noun
before,movers,preposition
beg,a2,verb
begin,flyers,verb
beginner,a2,noun
beginning,a2,noun
behind,starters,preposition
being,a2,noun
believe,flyers,verb
bell,a1,noun
belly,a2,noun
belong,a2,verb
below,movers,preposition
belt,flyers,noun
ben,starters,noun
bench,a2,noun
bend,a2,verb
besides,a2,adverb
best,movers,adjective|adverb
better,movers,adjective|adverb
betty,flyers,noun
between,starters,preposition
bicycle,flyers,noun
big,starters,adjective
bike,starters,noun
bill,starters,noun
bin,flyers,noun
bird,starters,noun
birth,a1,noun
birthday,starters,verb
biscuit,flyers,noun
bit,flyers,noun
bite,a2,noun
black,starters,adjective|noun
blackboard,a2,noun
blame,a2,verb
blank,a1,adjective
blanket,movers,noun
block,a1,noun
blond,movers,adjective
blonde,a2,adjective
bloom,a2,noun
blow,a2,noun
blue,starters,adjective|noun
board,starters,noun
board game,starters,noun
boat,starters,noun
body,starters,noun
boil,a2,verb
boiled,a2,adjective
bone,a1,noun
bonus,a2,noun
book,starters,noun
bookcase,starters,noun
bookshelf,a2,noun
bookshop,starters,noun
bookstore,a1,noun
boots,starters,noun
bored,flyers,adjective
boring,movers,adjective
borrow,flyers,verb
boss,a2,noun
both,movers,determiner|pronoun
bother,a2,verb
bottle,movers,noun
bottom,movers,adjective|noun
bounce,starters,verb
bowl,movers,noun
box,starters,noun
boy,starters,noun
boyfriend,a1,noun
bra,a2,noun
bracelet,flyers,noun
brain,a1,noun
brainstorm,a2,noun
brake,a2,noun
branch,a2,noun
brand,a2,noun
brave,movers,adjective
bread,starters,noun
break,movers,noun|verb
breakfast,starters,noun
breathe,a1,verb
breeze,a2,noun
bride,a2,noun
bridge,flyers,noun
bright,a1,adjective
brilliant,movers,adjective|exclamation
bring,movers,verb
broken,flyers,adjective
brother,starters,noun
brown,starters,adjective|noun
brush,flyers,noun|verb
bucket,a1,noun
budget,a2,noun
bug,a2,noun
build,movers,verb
building,movers,noun
bulb,a2,noun
burger,starters,noun
burn,flyers,verb
bury,a2,verb
bus,starters,noun
bus station,movers,noun
bus stop,movers,noun
bush,a2,noun
business,flyers,noun
businessman,flyers,noun
businesswoman,flyers,noun
busy,movers,adjective
but,starters,conjunction
butter,flyers,noun
butterfly,flyers,noun
button,a1,noun
buy,movers,verb
by,movers,preposition
by myself,flyers,adverb
by yourself,flyers,adverb
bye,starters,exclamation
cab,a2,noun
cafeteria,a2,noun
café,movers,noun
cage,movers,noun
cake,starters,noun
calendar,flyers,noun
call,movers,verb
camel,flyers,noun
camera,starters,noun
camp,flyers,verb
camping,a2,noun
campus,a2,noun
can,starters,verb
candy,a1,noun
cap,a1,noun
capital,a2,noun
capital letter,a2,noun
captain,a2,noun
car,starters,noun
car park,movers,noun
card,flyers,noun
care,a1,noun
careful,movers,adjective
carefully,movers,adverb
carrot,starters,noun
carry,movers,verb
cartoon,flyers,verb
case,a1,noun
cash,a2,noun
cassette,a2,noun
castle,flyers,noun
cat,starters,noun
catch,starters,verb
cause,a2,verb
cave,flyers,noun
cd,movers,noun
cd player,a1,noun
celebrate,a1,verb
celebration,a1,noun
cent,a2,noun
centre,movers,noun
century,flyers,noun
cereal,flyers,noun
certain,a2,adjective
certainly,a2,adverb
chain,a2,noun
chair,starters,noun
chairman,a2,noun
challenge,a2,noun
championship,a2,noun
chance,a2,noun
change,movers,verb
channel,flyers,verb
chapter,a2,noun
character,a1,noun
charlie,movers,noun
chart,a2,noun
chat,flyers,verb
cheap,flyers,adjective
check,a1,noun
cheek,a2,noun
cheer,a2,verb
cheese,movers,noun
chef,a2,noun
chemical,a2,adjective
chemist,flyers,noun
cheque,a2,noun
chess,flyers,verb
chest,a2,noun
chicken,starters,noun
child,starters,noun
childhood,a2,noun
chimpanzee,a2,noun
chin,a2,noun
chips,starters,noun
chirp,a2,noun
chocolate,starters,noun
choice,a2,noun
choose,starters,verb
chopsticks,flyers,noun
church,a1,noun
cinema,movers,noun
circle,movers,noun
circus,movers,noun
citizen,a2,noun
city,movers,noun
city center,movers,noun
claim,a2,verb
clap,starters,verb
clare,movers,noun
class,starters,noun
classic,a2,adjective
classical music,a2,noun
classmate,starters,noun
classroom,starters,noun
clean,a1,adjective
cleaner,a2,noun
clear,a2,adjective
clearly,a2,adverb
clerk,a2,noun
clever,movers,adjective
click,a2,verb
climb,movers,verb
climbing,a2,noun
clock,starters,noun
clone,a2,verb
close,starters,verb
closed,starters,adjective
cloth,a1,noun
clothes,starters,noun
cloud,movers,noun
cloudy,movers,adjective
clown,movers,noun
club,flyers,noun
clue,a2,noun
coach,a1,noun
coast,a2,noun
coat,movers,noun
coconut,starters,noun
code,a1,noun
coffee,movers,noun
coin,a2,noun
coke,a1,noun
cola,a2,noun
cold,movers,adjective|noun
collect,flyers,adjective
collection,a1,noun
college,flyers,noun
colour,starters,adjective|noun|verb
column,a2,noun
comb,flyers,noun|verb
come,starters,verb
come on,movers,exclamation
comfortable,a2,adjective
comic,movers,noun
comic book,movers,noun
commitment,a2,noun
committee,a2,noun
common,a2,adjective
communicate,a2,verb
communication,a2,noun
company,a2,noun
comparative,a2,noun
compare,a2,verb
competition,flyers,noun
complain,a2,verb
complaint,a2,noun
complete,starters,verb
composer,a2,noun
computer,starters,noun
concentrate,a2,verb
concern,a2,noun
concert,flyers,verb
condition,a2,noun
confident,a2,adjective
confuse,a2,verb
confused,a2,adjective
consequence,a2,noun
consider,a2,verb
consist,a2,verb
contact,a2,noun
container,a2,noun
contest,a1,noun
context,a2,noun
continent,a2,noun
continue,a2,verb
contrast,a2,noun
control,a2,noun
convenience,a2,noun
convenient,a2,adjective
conversation,flyers,noun
cook,movers,noun
cooker,flyers,noun
cookie,a1,noun
cooking,a2,noun
cool,starters,adjective|exclamation
cooler,a2,noun
cop,a1,noun
copy,a1,noun
corn,a1,noun
corner,flyers,noun
correct,starters,adjective|noun|verb
correctly,a2,adverb
cost,a2,noun
costume,flyers,noun
couch,a1,noun
cough,movers,noun|verb
could,movers,verb
count,starters,verb
country,movers,noun
countryside,movers,noun
couple,a2,noun
course,a1,noun
court,a2,noun
cousin,starters,noun
cover,a1,noun
cow,starters,noun
crayon,starters,noun
crazy,a2,adjective
cream,a2,adjective
create,a2,verb
creative,a2,adjective
creativity,a2,noun
creature,flyers,noun
credit,a2,noun
credit card,a1,noun
cricket,a2,noun
crime,a2,noun
crisp,a2,noun
crocodile,starters,noun
cross,starters,noun
crowd,a2,noun
crowded,a2,adjective
crown,flyers,noun
cruise,a2,noun
cry,movers,noun
culture,a1,noun
cup,movers,noun
cupboard,starters,noun
curly,movers,adjective
curry,a2,noun
curse,a2,noun
cushion,flyers,noun
custom,a2,noun
customer,a2,noun
cut,flyers,noun|verb
cute,a1,adjective
cycle,flyers,verb
cycling,a2,noun
dad,starters,noun
daddy,a1,noun
daily,a2,adjective
daisy,movers,noun
dam,a2,noun
dan,starters,noun
dance,movers,verb
dancer,a2,noun
dancing,a1,noun
danger,a2,noun
dangerous,movers,adjective
dark,flyers,adjective
date,flyers,noun
daughter,movers,noun
david,flyers,noun
day,starters,verb
daylight,a2,noun
dead,a2,adjective
deal,a2,noun
dear,flyers,adjective
debate,a2,noun
december,flyers,noun
decide,flyers,verb
deep,flyers,adjective
deeply,a2,adverb
degree,a2,noun
delay,a2,noun
delicious,flyers,adjective
dentist,movers,noun
department store,a2,noun
depend,a2,verb
describe,a1,verb
description,a2,noun
desert,flyers,noun
design,flyers,noun|verb
designer,flyers,noun
desk,starters,noun
dessert,a2,noun
destroy,a2,verb
detail,a2,noun
develop,a2,verb
developed,a2,adjective
diamond,a2,noun
diary,flyers,noun
dictionary,flyers,noun
die,a2,verb
diet,a2,noun
difference,movers,noun
different,movers,adjective
differently,a2,adverb
difficult,movers,adjective
difficulty,a2,noun
dig,a1,noun
digital camera,a2,noun
dining room,starters,noun
dinner,starters,noun
dinosaur,flyers,noun
direct,a2,adjective
direction,a2,noun
director,a2,noun
dirty,a1,adjective
disadvantage,a2,noun
disagree,a2,verb
disappear,flyers,verb
disappointed,a2,adjective
disappointing,a2,adjective
disco,a2,noun
discover,a2,verb
discuss,a1,verb
discussion,a2,noun
dish,a1,noun
dishonest,a2,adjective
dislike,a2,noun
display,a2,noun
disturb,a2,verb
divide,a2,verb
dizzy,a2,adjective
do,starters,verb
doctor,movers,noun
dog,starters,noun
doll,starters,noun
dollar,a1,noun
dolphin,movers,noun
don't worry,starters,exclamation
donkey,starters,noun
door,starters,noun
double,starters,adjective
doubt,a2,noun
down,movers,adverb|preposition
download,a2,verb
downstairs,movers,noun|preposition
downtown,a2,adverb
drama,a1,noun
draw,starters,noun
drawer,a2,noun
drawing,starters,noun
dream,movers,noun|verb
dress,starters,noun
dress up,movers,verb
dressed,a2,adjective
drill,a2,noun
drink,starters,noun|verb
drive,starters,verb
driver,movers,noun
drop,movers,verb
drugstore,a2,noun
drum,flyers,adjective|verb
dry,movers,adjective|verb
duck,starters,noun
due,a1,adjective
during,flyers,preposition
dust,a2,noun
dvd,movers,noun
e-book,movers,noun
each,flyers,determiner|pronoun
eagle,flyers,noun
ear,starters,noun
earache,movers,noun
early,flyers,adjective|adverb
earn,a2,verb
earring,a2,noun
earth,flyers,noun
earthquake,a2,noun
easily,a2,adverb
east,flyers,adjective|noun|preposition
easy,movers,adjective
eat,starters,noun
editor,a2,noun
education,a2,noun
educational,a2,adjective
effect,a2,noun
effort,a2,noun
egg,starters,noun
eight,starters,adjective|noun
eight hundred,flyers,adjective|noun
eighteen,starters,adjective|noun
eighteenth,movers,adjective|noun
eighth,movers,adjective|noun
eighty,movers,adjective|noun
either,a1,adverb
elbow,flyers,noun
elderly,a2,adjective
electric,a2,adjective
elementary,a1,adjective
elephant,starters,noun
elevator,a2,noun
eleven,starters,adjective|noun
eleventh,movers,adjective|noun
else,flyers,adverb
elsewhere,a2,adverb
email,movers,noun|verb
embarrassing,a2,adjective
emergency,a2,noun
emma,flyers,noun
empty,flyers,adjective
encourage,a2,verb
end,starters,noun|verb
endangered,a2,adjective
ending,a2,noun
energetic,a2,adjective
engine,flyers,noun
engineer,flyers,noun
english,starters,adjective|noun
enjoy,starters,verb
enormous,flyers,adjective
enough,flyers,adjective|pronoun
enter,flyers,verb
entertainment,a2,noun
entrance,flyers,noun
envelope,flyers,noun
environment,flyers,noun
envy,a2,noun
episode,a2,noun
error,a2,noun
escalator,a2,noun
escape,a2,noun
especially,a2,adverb
essay,a2,noun
establish,a2,verb
euro,a2,noun
eva,starters,noun
even,a2,adverb
evening,starters,verb
event,a1,noun
ever,flyers,adverb
every,movers,determiner
everyday,a1,adjective
everyone,movers,pronoun
everything,movers,pronoun
everywhere,flyers,adverb
evidence,a2,noun
exactly,a2,adverb
exam,a2,noun
example,starters,noun
excellent,flyers,adjective|exclamation
exchange,a2,noun
excited,flyers,adjective
exciting,movers,adjective
excuse,a1,noun
excuse me,movers,discourse_marker
exercise,a2,noun
exhibition,a2,noun
exist,a2,verb
exit,flyers,noun
expect,a2,verb
expensive,flyers,adjective
experience,a2,noun
expert,a2,noun
explain,flyers,verb
explanation,a2,noun
explore,flyers,verb
express,a2,noun
expression,a2,noun
extinct,flyers,adjective
extra,a2,adjective
extremely,a2,adverb
eye,starters,noun
face,starters,noun
fact,a2,noun
factory,flyers,noun
fail,a2,verb
fair,movers,adjective
fairly,a2,adverb
fairy,a1,noun
fall,movers,verb
fall over,flyers,verb
false,a1,adjective
familiar,a2,adjective
family,starters,noun
famous,movers,adjective
fan,a1,noun
fancy,a2,adjective
fantastic,starters,adjective|exclamation
far,flyers,adjective|adverb
fare,a2,noun
farm,movers,noun
farmer,movers,noun
fascinating,a2,adjective
fashion,a2,noun
fast,flyers,adjective|adverb
fast food,a2,noun
fat,movers,adjective
father,a1,noun
fault,a2,noun
favourite,starters,adjective
fear,a2,noun
feather,a2,noun
feature,a2,noun
february,flyers,noun
fee,a2,noun
feed,movers,verb
feel,flyers,verb
feeling,a1,noun
female,a2,adjective
fence,a2,noun
festival,flyers,verb
fetch,flyers,verb
fever,a1,noun
fiction,a2,noun
field,movers,noun
fifteen,starters,adjective|noun
fifteenth,movers,adjective|noun
fifth,movers,adjective|noun
fifty,movers,adjective|noun
fight,a1,noun
fighter,a2,noun
figure,a2,noun
file,flyers,noun
fill,a1,verb
film,movers,noun
final,a2,adjective
finally,a2,adverb
find,starters,verb
find out,flyers,verb
fine,movers,adjective|exclamation
finger,flyers,noun
finish,flyers,verb
fire,flyers,noun
fire engine,flyers,noun
fire fighter,flyers,noun
fire station,flyers,noun
first,movers,adjective|adverb|noun
first name,a2,noun
fish,starters,noun|verb
fisherman,a2,noun
fishing,starters,noun
fit,a2,adjective
five,starters,adjective|noun
five hundred,flyers,adjective|noun
fix,movers,verb
flag,flyers,noun
flat,starters,noun
flea,a2,noun
flight,a2,noun
float,a2,noun
flood,a2,noun
floor,starters,noun
flour,flyers,noun
flower,starters,noun
fly,starters,noun|verb
focus,a1,verb
fog,flyers,noun
foggy,flyers,adjective
folder,a2,noun
follow,flyers,verb
following,a1,adjective
food,starters,noun
fool,a2,noun
foot,starters,noun
football,starters,noun
footballer,a2,noun
for,starters,preposition
forbid,a2,verb
force,a2,noun
foreign,a1,adjective
foreigner,a1,noun
forest,movers,noun
forever,a2,adverb
forget,flyers,verb
fork,flyers,noun
form,a1,noun
fortunately,a2,adverb
fortune,a2,noun
forty,movers,adjective|noun
forward,a2,adverb
four,starters,adjective|noun
four hundred,flyers,adjective|noun
fourteen,starters,adjective|noun
fourteenth,movers,adjective|noun
fourth,movers,adjective|noun
frame,a2,noun
frank,flyers,noun
fred,movers,noun
free,a1,adjective
freedom,a2,noun
freeze,a2,verb
fresh,a2,adjective
friday,movers,noun
fridge,flyers,noun
fried,a2,adjective
friend,starters,noun
friendly,flyers,adjective
friendship,a2,noun
frighten,a2,verb
frightened,movers,adjective
frightening,flyers,adjective
frog,starters,noun
from,starters,preposition
front,flyers,adjective|noun|preposition
fruit,starters,noun
fry,a2,noun
full,flyers,adjective
fully,a2,adverb
fun,starters,adjective|noun
function,a2,verb
funfair,movers,noun
funny,starters,adjective
fur,flyers,noun
furniture,a2,noun
furry,flyers,adjective
further,a2,adjective
future,flyers,noun
gallery,a2,noun
game,starters,noun
garage,a2,noun
garbage,a1,noun
garden,starters,noun
garlic,a2,noun
gas,a2,noun
gate,flyers,noun
gather,a2,verb
gender,a2,noun
generation,a2,noun
gentle,a2,adjective
geography,flyers,noun
george,flyers,noun
get,starters,verb
get dressed,movers,verb
get off,movers,verb
get on,movers,verb
get to,flyers,verb
get undressed,movers,verb
get up,movers,verb
ghost,a1,noun
gift,a1,noun
giraffe,starters,noun
girl,starters,noun
girlfriend,a1,noun
give,starters,verb
given,a2,adjective
glad,a1,adjective
glass,movers,noun
glasses,starters,noun
globe,a2,noun
glove,flyers,noun
glue,flyers,noun|verb
go,starters,verb
go away,flyers,exclamation
go out,flyers,verb
go shopping,movers,verb
go to bed,starters,verb
go to sleep,starters,verb
goal,movers,noun
goat,starters,noun
gold,flyers,adjective|noun
golden,a2,adjective
golf,flyers,verb
good,starters,adjective
good-looking,a2,adjective
goodbye,starters,exclamation
government,a2,noun
grace,starters,noun
grade,a1,noun
gradually,a2,adverb
graduate,a2,verb
grammar,a1,noun
grandchild,a2,noun
granddad,a2,noun
granddaughter,movers,noun
grandfather,starters,noun
grandma,starters,noun
grandmother,starters,noun
grandpa,starters,noun
grandparent,movers,noun
grandson,movers,noun
granny,a2,noun
grape,starters,noun
grass,movers,noun
grateful,a2,adjective
great,starters,adjective|exclamation
greatly,a2,adverb
greedy,a2,adjective
green,starters,adjective|noun
greet,a1,verb
grey,starters,adjective|noun
grilled,a2,adjective
grocery store,a2,noun
ground,movers,noun
group,flyers,noun
grow,movers,verb
grown-up,movers,noun
guard,a2,noun
guess,flyers,noun|verb
guest,a1,noun
