variant,word
a_few,a few
a_little,a little
a_lot,a lot
a_lot_of,a lot of
alarm_clock,alarm clock
all_right,all right
apartment,flat
as_..._as,as ... as
at_the_moment,at the moment
backpack,rucksack
baseball_cap,baseball cap
be_called,be called
board_game,board game
bus_station,bus station
bus_stop,bus stop
by_myself,by myself
by_yourself,by yourself
cafe,café
candy,sweet
capital_letter,capital letter
car_park,car park
cd_player,cd player
center,centre
city_center,city center
classical_music,classical music
color,colour
come_on,come on
comic_book,comic book
cookie,biscuit
credit_card,credit card
department_store,department store
digital_camera,digital camera
dining_room,dining room
don't_worry,don't worry
dress_up,dress up
eight_hundred,eight hundred
elevator,lift
eraser,rubber
excuse_me,excuse me
fall,autumn
fall_over,fall over
fast_food,fast food
favorite,favourite
find_out,find out
fire truck,fire engine
fire_engine,fire engine
fire_fighter,fire fighter
fire_station,fire station
fire_truck,fire engine
first_name,first name
five_hundred,five hundred
flashlight,torch
four_hundred,four hundred
fries,chips
get_dressed,get dressed
get_off,get off
get_on,get on
get_to,get to
get_undressed,get undressed
get_up,get up
go_away,go away
go_out,go out
go_shopping,go shopping
go_to_bed,go to bed
go_to_sleep,go to sleep
gray,grey
grocery_store,grocery store
have_[got]_to,have [got] to
have_got,have got
high_school,high school
highway,motorway
how_long,how long
how_many,how many
how_much,how much
how_often,how often
how_old,how old
ice_cream,ice cream
ice_skates,ice skates
ice_skating,ice skating
id_card,id card
if_you_want,if you want
in_a_minute,in a minute
in_front_of,in front of
kilometer,kilometre
last_name,last name
living_room,living room
look_after,look after
look_at,look at
look_for,look for
look_like,look like
lots_of,lots of
main_course,main course
make_sure,make sure
math,maths
me_too,me too
mineral_water,mineral water
mobile_phone,mobile phone
mom,mum
movie,film
mustache,moustache
next_to,next to
nine_hundred,nine hundred
no_problem,no problem
of_course,of course
oh_dear,oh dear
olive_oil,olive oil
out_of,out of
pajamas,pyjamas
pants,trousers
parking lot,car park
parking_lot,car park
petrol_station,petrol station
pharmacy,chemist
polar_bear,polar bear
police_officer,police officer
police_station,police station
pop_music,pop music
pop_star,pop star
post_office,post office
practice,practise
program,programme
put_on,put on
race car,racing car
race_car,racing car
racing_car,racing car
rock_music,rock music
roller_skates,roller skates
roller_skating,roller skating
see_you,see you
seven_hundred,seven hundred
shop_assistant,shop assistant
shopping center,shopping centre
shopping_center,shopping centre
shopping_centre,shopping centre
sitting_room,sitting room
six_hundred,six hundred
sneakers,trainers
soccer,football
soft_drink,soft drink
sports center,sports centre
sports_center,sports centre
sports_centre,sports centre
store,shop
straight_on,straight on
swimming_costume,swimming costume
swimming_pool,swimming pool
table_tennis,table tennis
take_a_photo_/_picture,take a photo / picture
take_off,take off
television_/_tv,television / tv
tennis_racket,tennis racket
text_message,text message
thank_you,thank you
theater,theatre
three_hundred,three hundred
tire,tyre
tour_guide,tour guide
town_center,town center
traffic_light,traffic light
trash / garbage can,bin
trash_/_garbage_can,bin
truck,lorry
turn_off,turn off
turn_on,turn on
two_hundred,two hundred
video_game,video game
wake_up,wake up
washing_machine,washing machine
web_page,web page
well_done,well done
would_like,would like
yogurt,yoghurt
you're_welcome,you're welcome
