word,edges
a few,0
a little,0
a lot,0
a lot of,0
a.m.,0
as ... as,0
at the moment,0
by myself,0
by yourself,0
don't worry,0
e-book,0
eight hundred,0
emma,0
eva,0
fire fighter,0
footballer,0
get undressed,0
good-looking,0
grown-up,0
half-price,0
hate,0
have [got] to,0
headphone,0
helen,0
how often,0
how old,0
hugo,0
ice skates,0
if you want,0
in a minute,0
julia,0
kim,0
left-hand,0
let's,0
lots of,0
make-up,0
meatballs,0
nine hundred,0
ninety,0
no-one,0
o'clock,0
oh dear,0
o’clock,0
p.m.,0
right-hand,0
roller skates,0
sake,0
see you,0
seven hundred,0
six hundred,0
stomach-ache,0
straight on,0
t-shirt,0
take a photo / picture,0
television / tv,0
three hundred,0
two hundred,0
vicky,0
washing-up,0
well-known,0
wifi,0
x-ray,0
you're welcome,0
alex,1
ann,1
anymore,1
be called,1
beginner,1
crocodile,1
downstairs,1
earache,1
four hundred,1
go shopping,1
go to sleep,1
grilled,1
how long,1
jim,1
katy,1
lucy,1
lunchtime,1
me too,1
michael,1
mr,1
noodles,1
pop star,1
racing car,1
richard,1
sports centre,1
town center,1
unforgettable,1
yours,1
blackboard,2
city center,2
clare,2
dizzy,2
elsewhere,2
envy,2
excuse me,2
fifteen,2
first name,2
five hundred,2
funfair,2
hippo,2
hometown,2
importantly,2
interviewer,2
laziness,2
make sure,2
mosque,2
mrs,2
oh,2
sarah,2
seventy,2
sleepless,2
superstar,2
teddy,2
thank you,2
these,2
twentieth,2
your,2
zoe,2
amused,3
anyway,3
app,3
businesswoman,3
capital letter,3
chopsticks,3
clone,3
dressed,3
eighty,3
fifteenth,3
fifty,3
fourteenth,3
guidebook,3
how many,3
kilo,3
kilometre,3
mary,3
mineral water,3
no problem,3
of course,3
olive oil,3
oliver,3
peter,3
petrol station,3
sightseeing,3
silently,3
sixty,3
smoothly,3
snowy,3
sophia,3
stomachache,3
trainers,3
wake up,3
would like,3
alice,4
angrily,4
anna,4
automatically,4
bra,4
david,4
dvd,4
endangered,4
fire engine,4
forty,4
george,4
get dressed,4
hers,4
hooray,4
jill,4
last name,4
matt,4
motorbike,4
nineteenth,4
olympic,4
olympics,4
ours,4
pc,4
pence,4
polar bear,4
pronunciation,4
pyjamas,4
rock music,4
roller skating,4
seventh,4
someday,4
sunflower,4
theirs,4
thirty,4
whose,4
william,4
cd player,5
charlie,5
cooker,5
correctly,5
crowded,5
curly,5
dinosaur,5
eleventh,5
fall over,5
fast food,5
find out,5
fire station,5
fourteen,5
go to bed,5
greedy,5
highway,5
ice skating,5
inexpensive,5
lost,5
main course,5
million,5
moustache,5
ninth,5
overseas,5
penguin,5
picnic,5
police station,5
possibly,5
schoolwork,5
semester,5
seventeen,5
shop assistant,5
sixteen,5
soft drink,5
swimming costume,5
toothache,5
tour guide,5
untidy,5
aged,6
all right,6
astronaut,6
baseball cap,6
basically,6
boiled,6
chimpanzee,6
dan,6
developed,6
differently,6
during,6
earring,6
eighteenth,6
fred,6
gradually,6
granddad,6
granddaughter,6
handicapped,6
have got,6
id card,6
indoor,6
jane,6
kangaroo,6
kiwi,6
lily,6
look after,6
midday,6
missing,6
mobile phone,6
mostly,6
november,6
october,6
olives,6
rainy,6
robert,6
sandy,6
seriously,6
