word,level,edges
a few,flyers,0
a little,flyers,0
a lot,starters,0
a lot of,starters,0
a.m.,flyers,0
alex,starters,1
ann,starters,1
anymore,a2,1
as ... as,flyers,0
at the moment,flyers,0
be called,movers,1
beginner,a2,1
by myself,flyers,0
by yourself,flyers,0
crocodile,starters,1
don't worry,starters,0
downstairs,movers,1
e-book,movers,0
earache,movers,1
eight hundred,flyers,0
emma,flyers,0
eva,starters,0
fire fighter,flyers,0
footballer,a2,0
four hundred,flyers,1
get undressed,movers,0
go shopping,movers,1
go to sleep,starters,1
good-looking,a2,0
grilled,a2,1
grown-up,movers,0
half-price,a2,0
hate,flyers,0
have [got] to,movers,0
headphone,a2,0
helen,flyers,0
how long,flyers,1
how often,movers,0
how old,starters,0
hugo,starters,0
ice skates,movers,0
if you want,flyers,0
in a minute,flyers,0
jim,movers,1
julia,movers,0
katy,flyers,1
kim,starters,0
left-hand,a2,0
let's,starters,0
lots of,starters,0
lucy,starters,1
lunchtime,a2,1
make-up,a2,0
me too,starters,1
meatballs,starters,0
michael,flyers,1
mr,starters,1
nine hundred,flyers,0
ninety,movers,0
no-one,flyers,0
noodles,movers,1
o'clock,movers,0
oh dear,starters,0
o’clock,movers,0
p.m.,flyers,0
pop star,movers,1
racing car,flyers,1
richard,flyers,1
right-hand,a2,0
roller skates,movers,0
sake,a2,0
see you,starters,0
seven hundred,flyers,0
six hundred,flyers,0
sports centre,movers,1
stomach-ache,movers,0
straight on,flyers,0
t-shirt,starters,0
take a photo / picture,starters,0
television / tv,starters,0
three hundred,flyers,0
town center,movers,1
two hundred,flyers,0
unforgettable,a2,1
vicky,movers,0
washing-up,a2,0
well-known,a2,0
wifi,flyers,0
x-ray,flyers,0
you're welcome,flyers,0
yours,starters,1
