id,head,rel,tail,weight,source,label,note
19684,eagle,RelatedTo,bird,1.311,conceptnet,,
964,advertisement,Synonym,advert,2.0,conceptnet,,
50303,report,IsA,news,2.0,conceptnet,,
44161,period,RelatedTo,stage,1.0,conceptnet,,
49964,reinforcement,Synonym,support,2.0,conceptnet,,
46044,pop,IsA,soft_drink,2.0,conceptnet,,
9940,castle,RelatedTo,stone,1.541,conceptnet,,
68044,who,RelatedTo,whoever,1.0,conceptnet,,
2838,aspiration,IsA,ambition,2.0,conceptnet,,
34523,lesson,PartOf,course,2.0,conceptnet,,
52121,ruler,RelatedTo,stick,1.451,conceptnet,,
60396,sunshine,RelatedTo,sun,1.0,conceptnet,,
61320,take,RelatedTo,absorb,2.0,conceptnet,,
13642,conclusion,RelatedTo,result,1.0,conceptnet,,
67680,weigh,RelatedTo,determine,1.0,conceptnet,,
60706,survey,RelatedTo,view,1.0,conceptnet,,
65973,usually,Synonym,normally,1.0,conceptnet,,
55364,significance,RelatedTo,importance,1.0,conceptnet,,
49646,rectangular,RelatedTo,shape,1.0,conceptnet,,
55072,shout,RelatedTo,boat,1.0,conceptnet,,
33319,knife,RelatedTo,injure,1.0,conceptnet,,
34481,lemonade,AtLocation,mall,1.0,conceptnet,,
60988,swimming,RelatedTo,swimming_pool,1.0,conceptnet,,
34756,library,UsedFor,research,2.0,conceptnet,,
43648,pea,RelatedTo,seed,1.0,conceptnet,,
8135,build,RelatedTo,establish,1.0,conceptnet,,
12366,coast,IsA,shore,1.0,conceptnet,,
30282,human,AtLocation,society,1.0,conceptnet,,
3208,attract,RelatedTo,pull,1.0,conceptnet,,
55096,show,RelatedTo,exhibition,1.0,conceptnet,,
55930,skin,RelatedTo,appearance,1.0,conceptnet,,
44799,pilot,RelatedTo,preliminary,1.0,conceptnet,,
17593,differ,RelatedTo,opinion,1.0,conceptnet,,
10472,chain,UsedFor,decoration,1.0,conceptnet,,
32335,january,RelatedTo,month,1.0,conceptnet,,
45644,poem,RelatedTo,literary,1.0,conceptnet,,
17127,depend,RelatedTo,trust,1.0,conceptnet,,
34245,lease,RelatedTo,rent,1.0,conceptnet,,
64736,true,RelatedTo,target,1.0,conceptnet,,
2425,arena,AtLocation,stadium,1.0,conceptnet,,
63138,timing,RelatedTo,speed,1.0,conceptnet,,
41134,obviously,Synonym,apparently,2.0,conceptnet,,
42108,other,RelatedTo,separate,2.0,conceptnet,,
8397,burst,RelatedTo,pressure,1.0,conceptnet,,
25407,full,RelatedTo,exactly,1.0,conceptnet,,
28746,head,UsedFor,hat,1.0,conceptnet,,
13045,commitment,Synonym,guarantee,1.0,conceptnet,,
37628,meeting,FormOf,meet,1.0,conceptnet,,
4492,basket,AtLocation,home,1.0,conceptnet,,
61958,tell,RelatedTo,speech,1.0,conceptnet,,
